city,type,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,building_age,nearset_poi_distance,poi_sum_distance,rooms_per_m2
szczecin,blockOfFlats,47.0,2.0,6.0,12.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,False,True,True,False,True,449000,43.0,0.068,1.2389999999999999,0.0425531914893617
szczecin,apartmentBuilding,88.22,3.0,1.0,2.0,53.4490931,14.5168436,4.09,0.0,0.509,1.039,0.998,0.676,0.661,1.192,0.668,True,True,False,False,False,950000,24.0,0.509,4.551,0.034005894355021535
szczecin,apartmentBuilding,117.0,5.0,4.0,4.0,53.4430957490062,14.5613475014441,2.19,10.0,0.216,0.611,0.743,0.28,0.298,1.522,0.229,True,True,False,False,False,1099000,45.0,0.216,2.377,0.042735042735042736
szczecin,blockOfFlats,33.31,1.0,1.0,4.0,53.4361,14.5412,1.93,39.0,0.073,0.326,0.284,0.089,0.18,0.041,0.388,True,False,False,True,True,380000,61.0,0.073,1.3399999999999999,0.030021014710297205
szczecin,blockOfFlats,56.0,3.0,7.0,7.0,53.4474649390434,14.5578114013843,2.68,10.0,0.268,0.771,0.676,0.26,0.322,1.643,0.178,True,True,True,True,True,799000,6.0,0.178,2.475,0.05357142857142857
szczecin,blockOfFlats,68.61,3.0,4.0,4.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,False,True,False,False,True,599000,27.0,0.071,3.7060000000000004,0.043725404459991256
szczecin,blockOfFlats,101.25,4.0,3.0,2.0,53.3977,14.6729,7.95,14.0,0.201,2.454,0.315,0.25,0.216,1.775,0.316,True,True,False,False,True,720000,94.0,0.201,3.7520000000000002,0.03950617283950617
szczecin,blockOfFlats,29.6,1.0,7.0,11.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,False,False,True,False,True,319000,54.0,0.022,1.779,0.03378378378378378
szczecin,tenement,97.2,4.0,3.0,3.0,53.4354,14.5613,1.33,18.0,0.311,0.404,0.434,0.403,0.161,0.673,0.26,True,False,False,False,True,720000,94.0,0.161,1.973,0.0411522633744856
szczecin,blockOfFlats,26.8,1.0,4.0,5.0,53.438362,14.5562786,1.69,25.0,0.218,0.358,0.121,0.102,0.162,1.018,0.02,False,False,True,False,False,322000,64.0,0.02,0.981,0.03731343283582089
szczecin,blockOfFlats,75.0,4.0,4.0,4.0,53.3654,14.6509,8.78,5.0,0.341,0.766,0.318,0.526,0.083,0.614,0.336,True,True,False,False,True,650000,44.0,0.083,2.37,0.05333333333333334
szczecin,blockOfFlats,68.94,3.0,3.0,4.0,53.4112998,14.5193061,3.07,5.0,0.28,0.767,0.479,0.468,0.57,1.251,0.236,False,True,False,False,True,540000,74.0,0.236,2.8,0.043516100957354226
szczecin,apartmentBuilding,66.78,4.0,2.0,6.0,53.4187193,14.5445331,1.21,9.0,0.233,0.479,0.55,0.592,0.366,0.866,0.335,True,True,True,False,False,749000,6.0,0.233,2.555,0.05989817310572027
szczecin,tenement,89.34,3.0,3.0,4.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,True,True,False,False,True,600000,94.0,0.01,0.9590000000000001,0.0335795836131632
szczecin,apartmentBuilding,33.76,1.0,1.0,10.0,53.4110643,14.5272356,2.62,14.0,0.162,0.355,0.401,0.097,0.063,1.017,0.326,False,True,True,False,False,399000,12.0,0.063,1.4040000000000001,0.02962085308056872
szczecin,blockOfFlats,48.15,2.0,2.0,3.0,53.44088317,14.51178074,3.79,6.0,0.46,0.405,0.036,0.51,0.683,1.267,0.112,False,True,False,False,True,565000,94.0,0.036,2.2060000000000004,0.04153686396677051
szczecin,apartmentBuilding,79.0,3.0,2.0,6.0,53.4231,14.5384,1.5,20.0,0.061,0.5,0.092,0.606,0.046,0.579,0.106,True,False,True,False,False,950000,11.0,0.046,1.411,0.0379746835443038
szczecin,tenement,61.48,2.0,3.0,3.0,53.4915083,14.60698488,8.16,1.0,0.149,1.68,0.534,1.294,1.527,3.72,1.521,False,False,False,False,True,359000,124.0,0.149,6.705,0.03253090435914119
szczecin,blockOfFlats,47.88,2.0,3.0,4.0,53.4045357,14.5242062,3.21,15.0,0.256,0.547,0.442,0.098,0.129,1.77,0.086,False,False,False,False,True,415000,39.0,0.086,1.5580000000000003,0.04177109440267335
szczecin,blockOfFlats,50.0,2.0,3.0,3.0,53.4858,14.5775,7.02,4.0,2.153,0.478,0.283,0.422,0.261,2.571,0.538,True,False,False,False,False,429000,14.0,0.261,4.135000000000001,0.04
szczecin,blockOfFlats,60.38,3.0,3.0,4.0,53.4408512,14.528051,2.92,13.0,0.201,0.41,0.936,0.485,0.174,0.242,0.183,False,True,True,False,False,699000,21.0,0.174,2.389,0.04968532626697582
szczecin,apartmentBuilding,71.47,4.0,2.0,3.0,53.4498,14.4986,5.07,13.0,0.187,0.975,0.092,0.57,0.117,2.287,0.083,True,True,True,True,True,929000,45.0,0.083,2.024,0.05596753882748006
szczecin,blockOfFlats,37.73,2.0,3.0,2.0,53.411613,14.4926316,4.71,4.0,0.562,1.382,0.239,0.585,0.366,2.74,0.793,False,False,False,False,False,499000,11.0,0.239,3.927,0.0530082162735224
szczecin,tenement,39.76,2.0,2.0,3.0,53.4279257,14.5404657,1.45,53.0,0.041,0.555,0.232,0.266,0.128,0.259,0.149,False,False,False,False,True,329000,94.0,0.041,1.371,0.05030181086519115
szczecin,blockOfFlats,36.0,2.0,9.0,10.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,False,True,True,False,True,380000,44.0,0.068,1.2389999999999999,0.05555555555555555
szczecin,blockOfFlats,42.42,3.0,2.0,10.0,53.4465,14.5782,2.81,2.0,0.698,1.26,1.054,0.766,0.203,1.8,0.38,True,True,True,False,True,559000,44.0,0.203,4.361,0.07072135785007072
szczecin,blockOfFlats,30.94,1.0,2.0,10.0,53.44129217,14.56834316,2.05,16.0,0.202,1.029,0.508,0.174,0.285,1.4,0.224,False,False,True,False,True,309000,45.0,0.174,2.422,0.03232062055591467
szczecin,apartmentBuilding,39.0,2.0,6.0,7.0,53.4159,14.5329,2.04,8.0,0.547,0.463,0.04,0.197,0.259,0.446,0.678,True,True,True,True,True,550000,4.0,0.04,2.184,0.05128205128205128
szczecin,apartmentBuilding,71.47,4.0,2.0,3.0,53.4498,14.4986,5.07,13.0,0.187,0.975,0.092,0.57,0.117,2.287,0.083,True,True,True,True,True,929000,45.0,0.083,2.024,0.05596753882748006
szczecin,unknown,55.99,2.0,3.0,3.0,53.433,14.5484,1.35,67.0,0.126,0.217,0.052,0.319,0.115,0.515,0.108,False,False,False,False,False,450000,45.0,0.052,0.9369999999999999,0.03572066440435792
szczecin,blockOfFlats,83.3,4.0,4.0,4.0,53.4319,14.4861,5.05,1.0,1.12,0.98,0.668,0.745,1.05,3.035,0.377,True,True,True,True,False,1050000,4.0,0.377,4.94,0.04801920768307323
szczecin,blockOfFlats,47.55,3.0,7.0,10.0,53.43524198,14.55714224,1.34,26.0,0.134,0.128,0.255,0.143,0.146,0.72,0.133,True,True,True,False,True,489000,54.0,0.128,0.9390000000000001,0.06309148264984228
szczecin,blockOfFlats,63.0,4.0,1.0,4.0,53.45616459,14.49379921,5.75,10.0,0.389,1.748,0.164,0.18,0.659,2.893,0.174,False,True,False,False,True,660000,47.0,0.164,3.3140000000000005,0.06349206349206349
